archive,archive_bytes,archive_format,archive_sha256,entry_count,car_id,display_name,brand,year,class,car_root,bank_role,bank_path,bank_bytes,bank_sha256,guids_path,ui_path,physics_source,physics_path,ext_config_path,target_event_count,event_profile,duplicate_bank_group,notes
"asw-bugatti-chiron-pur-sport-1.zip",78704421,"ZIP","909be22b43c6156cea2636571e08a1c75dbb41042451a5deb44f660ab02d1080",121,"PurSport","Bugatti Chiron Pur Sport","Bugatti",2022,"street","PurSport","active","PurSport/sfx/PurSport.bank",58607168,"4b9fad4dc94d5b2c7489a8dd5a0d2714a4de99ffeb6476b12d010e474f880137","PurSport/sfx/GUIDs.txt","PurSport/ui/ui_car.json","loose","PurSport/data","PurSport/extension/ext_config.ini",18,"missing:wheel","","GUIDs put wheel under typo namespace PurSprt; preserve case"
"asw-cadillac-escalade-esv-1.zip",96650235,"ZIP","42f61c7894c4bafd76ab81de24bac7b946bd137a7d7daca897186d608165cf61",230,"gk_cadillac_escalade","Cadillac Escalade ESV ∣ 𝙂𝙞𝙤𝙧𝙜𝙞𝙆𝟬","Cadillac",2012,"street","gk_cadillac_escalade","active","gk_cadillac_escalade/sfx/gk_cadillac_escalade.bank",17295264,"71fcf063af3f04cc4bc5798c291da6679a41dbe6c2a4bf02c7ea5a1c62fcd900","gk_cadillac_escalade/sfx/GUIDs.txt","gk_cadillac_escalade/ui/ui_car.json","loose-preferred-over-acd","gk_cadillac_escalade/data","gk_cadillac_escalade/extension/ext_config.ini",19,"standard-19","","Both data/ and data.acd exist; current lab loader prefers loose data/"
"asw-chevrolet-camaro-concept.zip",33198893,"ZIP","69d1f7193ddcd8b55fdcac7be7bdd5a868108d1eabd072a76593c9b1ea3d8ebc",114,"pb_camaro_con_06","Chevrolet Camaro Concept","Chevrolet",2006,"street","pb_camaro_con_06","active","pb_camaro_con_06/sfx/pb_camaro_con_06.bank",16180320,"4c1a579da83ffb210986506398ee38215e89c793f87a5a319f1a73b01e835f95","pb_camaro_con_06/sfx/GUIDs.txt","pb_camaro_con_06/ui/ui_car.json","loose","pb_camaro_con_06/data","pb_camaro_con_06/extension/ext_config.ini",19,"standard-19","",""
"asw-chevrolet-corvette-c6-z06-stanced.zip",107782946,"ZIP","ab78ee0017f2dbf3470adc642414c287f63ec1cc80593e50102d021e8bfacdd8",187,"ste_stanced_z06c6","Chevrolet Corvette [C6] Z06 Stanced","Chevrolet",2007,"street","ste_stanced_z06c6","active","ste_stanced_z06c6/sfx/ste_stanced_z06c6.bank",60017312,"d54059281ff63beb418476a50011600a3f182337cb24477c91984333270a9334","ste_stanced_z06c6/sfx/GUIDs.txt","ste_stanced_z06c6/ui/ui_car.json","loose","ste_stanced_z06c6/data","ste_stanced_z06c6/extension/ext_config.ini",19,"standard-19","",""
"asw-chevrolet-corvette-c7-stingray-hellspec.zip",102818295,"ZIP","f4e40c940b7f505bcc8737ca1d103c7e2299b45843fbdab94ce37b3a31a07ce8",157,"corvette_c7_stingray_hellspec","Chevrolet Corvette C7 Stingray hellspec 😈","Chevrolet","","street","corvette_c7_stingray_hellspec","active","corvette_c7_stingray_hellspec/sfx/corvette_c7_stingray_hellspec.bank",60166656,"c2c78e9088d12749f95856cca272888f8eeab47709359883005205acaf7270f3","corvette_c7_stingray_hellspec/sfx/GUIDs.txt","corvette_c7_stingray_hellspec/ui/ui_car.json","acd","corvette_c7_stingray_hellspec/data.acd","corvette_c7_stingray_hellspec/extension/ext_config.ini",19,"standard-19","",""
"asw-ferrari-360-challenge-stradale-manual-1.zip",136232609,"ZIP","ef140d61959bb1806b6de8da74bab504d729a3ce158733a8bfe191ff6e20b01c",579,"ferrari_360_challenge_stradale_manual","Ferrari 360 Challenge Stradale manual","Ferrari",2003,"street","ferrari_360_challenge_stradale_manual","active","ferrari_360_challenge_stradale_manual/sfx/ferrari_360_challenge_stradale_manual.bank",82994976,"2650a3366fe6f054c3fc95323ad56df07837abe50ccbb736b99c6aed21e68a50","ferrari_360_challenge_stradale_manual/sfx/GUIDs.txt","ferrari_360_challenge_stradale_manual/ui/ui_car.json","acd","ferrari_360_challenge_stradale_manual/data.acd","ferrari_360_challenge_stradale_manual/extension/ext_config.ini",19,"standard-19","",""
"asw-ferrari-laferrari-trio.7z",66784782,"7Z","191e3addb8516e9ef00f1741ccda56e89a562feed8c2a72ee1eada89129e0168",363,"ferrari_laferrari_trio","Ferrari LaFerrari TRIO","Ferrari",2015,"street","ferrari_laferrari_trio","active","ferrari_laferrari_trio/sfx/ferrari_laferrari_trio.bank",54755744,"0cecbab84b0150867f6ff11066713ae4cb6aee550d7040da9b76dc0f81a2b596","ferrari_laferrari_trio/sfx/GUIDs.txt","ferrari_laferrari_trio/ui/ui_car.json","acd","ferrari_laferrari_trio/data.acd","ferrari_laferrari_trio/extension/ext_config.ini",13,"missing:backfire_ext|backfire_int|limiter|tractioncontrol_ext|tractioncontrol_int|turbo","","Despite archive name TRIO this is one car folder and one bank"
"asw-ferrari-sf90-xx-stradale-2024.rar",90518943,"RAR5","bad3d4a8e74029faf7d05cd5a9038778baec59f08fc57b084de43db1c0c2275c",447,"cky_ferrari_sf90xx","Ferrari SF90 XX Stradale 2024","Ferrari",2024,"track","cky_ferrari_sf90xx","active","cky_ferrari_sf90xx/sfx/cky_ferrari_sf90xx.bank",23822016,"811f215a04f235ce42efcdbd8e8e7d933b4537c85801d84e448518bf76dbb96e","cky_ferrari_sf90xx/sfx/GUIDs.txt","cky_ferrari_sf90xx/ui/ui_car.json","loose","cky_ferrari_sf90xx/data","cky_ferrari_sf90xx/extension/ext_config.ini",16,"missing:transmission|limiter|gear_grind","",""
"asw-ferruccio-3.zip",222880321,"ZIP","87b45d5b0f564db5f93c8fa7b67d46e790319318f52e6500866b1f7efc604979",330,"urd_egt_ferruccio","Ferruccio","EnduranceGT","","race","urd_egt_ferruccio","active","urd_egt_ferruccio/sfx/urd_egt_ferruccio.bank",63324768,"ebe5e00d8b720ea4709c65e05a145db5b49832bb189bebebab89b278887a1614","urd_egt_ferruccio/sfx/GUIDs.txt","urd_egt_ferruccio/ui/ui_car.json","acd","urd_egt_ferruccio/data.acd","",19,"standard-19","",""
"asw-ghast-2013-lexus-lfa-concept-gt500.7z",142207246,"7Z","bf43e7e22e1e9d2431708044c8eb9923700b6774adfbba400bcca771e4722b5f",202,"ghast_lfa_concept_gt500","Ghast | 2013 Lexus LFA Concept GT500","Lexus",2013,"race","content/cars/ghast_lfa_concept_gt500","active","content/cars/ghast_lfa_concept_gt500/sfx/ghast_lfa_concept_gt500.bank",62011264,"b83116900c41666fedf7b7256793d3d8808930a40ab938f1b089efd13bf63e42","content/cars/ghast_lfa_concept_gt500/sfx/GUIDs.txt","content/cars/ghast_lfa_concept_gt500/ui/ui_car.json","loose","content/cars/ghast_lfa_concept_gt500/data","content/cars/ghast_lfa_concept_gt500/extension/ext_config.ini",19,"standard-19","",""
"asw-gt2-3-ferrari-f430-gt2-2007.zip",212077613,"ZIP","a58b9c4f12d63d2871e10b93f5f01abef4040176fff16f1f50cab15ccd48705c",291,"ferrari_430_gt2","GT2 3 - Ferrari F430 GT2 2007","Ferrari",2007,"GT2,GTC","ferrari_430_gt2","active","ferrari_430_gt2/sfx/ferrari_430_gt2.bank",63324768,"b4268b5c284915d9c2a9c4e96e4467dddd74a004ba689d09c36d8e59b2f8e27f","ferrari_430_gt2/sfx/GUIDs.txt","ferrari_430_gt2/ui/ui_car.json","loose","ferrari_430_gt2/data","",16,"missing:tractioncontrol_int|transmission|turbo","","Active runtime bank; archive also contains a different legacy backup bank"
"asw-gt2-3-ferrari-f430-gt2-2007.zip",212077613,"ZIP","a58b9c4f12d63d2871e10b93f5f01abef4040176fff16f1f50cab15ccd48705c",291,"ferrari_430_gt2","GT2 3 - Ferrari F430 GT2 2007","Ferrari",2007,"GT2,GTC","ferrari_430_gt2","legacy-backup","ferrari_430_gt2/sfx/sfx_old/ferrari_430_gt2.bank",38474912,"0812701bd6344aee2c49d142ed274c73c7a699e981fdbf5bb1e32a844819f6b7","","","","","","","not-profiled","","Do not package unless explicitly comparing the old sound"
"asw-lexus-lfa-no-hesi-spec.zip",37951658,"ZIP","02a9043582ced89a908088fdd24bd080ac0c2fe4ddc27b5d39bc28bb71951c88",63,"nohesi_lexus_lfa_nurburgring","Lexus LFA | No Hesi Spec","Lexus",2012,"street","nohesi_lexus_lfa_nurburgring","active","nohesi_lexus_lfa_nurburgring/sfx/nohesi_lexus_lfa_nurburgring.bank",9791584,"ce26a1d67f4202fd9ab7d9b76db860e1690107e36fbe8d5e0010b22f4cd060ea","nohesi_lexus_lfa_nurburgring/sfx/GUIDs.txt","nohesi_lexus_lfa_nurburgring/ui/ui_car.json","acd","nohesi_lexus_lfa_nurburgring/data.acd","nohesi_lexus_lfa_nurburgring/extension/ext_config.ini",19,"standard-19","",""
"asw-lfa-nurburgring-edition.zip",53385959,"ZIP","c57d2aced86837c17f8cd1ba70e7de3e7c6b269316002ef5ccefef40ea538959",109,"lexus_lfa","LFA Nurburgring Edition","Lexus",2011,"race","lexus_lfa","active","lexus_lfa/sfx/lexus_lfa.bank",23415200,"d62c0a7854aacccc9f9fb1923100cea648c3da9e3181c74165e6f529f92eacfd","lexus_lfa/sfx/GUIDs.txt","lexus_lfa/ui/ui_car.json","loose","lexus_lfa/data","",19,"standard-19","","Internal bank GUID is donor name urd_jt5_2016_shiro_r1; nested skins/skin_templates.zip"
"asw-mercedes-amg-project-one-hypercar-1.rar",57089947,"RAR4","3940edb1218deaebd8b39c91b664fba20cc72ec0fd75a8ae28277f8538a816ee",113,"mercedes_concept_one","Mercedes-AMG Project One Hypercar","Mercedes-Benz","","race","mercedes_concept_one","active","mercedes_concept_one/sfx/mercedes_concept_one.bank",11323808,"284dc068976c5c97f8aea1b56c369d36f54c7b88622f811d36e8ee875ec89842","mercedes_concept_one/sfx/GUIDs.txt","mercedes_concept_one/ui/ui_car.json","acd","mercedes_concept_one/data.acd","",19,"standard-19","",""
"asw-mitsubishi-eclipse-gsx-r.zip",94886418,"ZIP","dfaba69a2d0aa87de8fcc3335c0647ee14fed444663cc5b50efb41479ef9ddb5",67,"f302_eclipse_gsx-r","Mitsubishi Eclipse GSX-R","Mitsubishi",2000,"race","f302_eclipse_gsx-r","active","f302_eclipse_gsx-r/sfx/f302_eclipse_gsx-r.bank",67644896,"789ab8b5cda7b1de85665a4bc576692ad470c02d3170b654162f998e205a8a83","f302_eclipse_gsx-r/sfx/GUIDs.txt","f302_eclipse_gsx-r/ui/ui_car.json","acd","f302_eclipse_gsx-r/data.acd","f302_eclipse_gsx-r/extension/ext_config.ini",21,"extra:start|transmission_ext","",""
